Element, g_debug
1071,  40669.8125
1072, -6879.12988
1073, -2568.94775
1074,  25752.90625
1075, -5898.47705
1076, -2223.14111
1077,  9821.68359
1078, -800.6723
1079, -1782.45642
1080,  10760.77832
1081, -913.46667
1082, -1284.76831
1083,  13469.35938
1084, -1826.79102
1085, -1092.8374
1086,  43655.15625
1087, -5857.37891
1088, -3656.90601
1089,  23268.2793
1090, -7689.58545
1091, -1860.51257
1092,  58985.53125
1093, -5706.16797
1094, -15661.51172
1095,  23392.57031
1096, -3981.51099
1097, -2177.93994
1098,  22503.46289
1099, -5813.06885
1100, -1368.3645
1101,  7462.39307
1102, -2129.5835
1103, -1334.18945
1104,  13153.10352
1105, -2255.36328
1106,  258.44962
1107,  16733.50391
1108, -5648.22705
1109, -1125.95532
1110,  28803.17578
1111, -10109.01367
1112,  505.32587
1113,  18521.35352
1114, -3082.53125
1115, -1599.07898
1116,  3845.89844
1117, -1499.85876
1118, -55.55674
1119,  18193.32617
1120, -914.53265
1121, -4323.57813
1122,  17865.66992
1123,  245.14674
1124,  642.67169
1125,  20383.41602
1126, -3908.01514
1127, -1650.14819
1128,  12658.98438
1129, -4219.22998
1130, -1987.42761
1131,  21660.69922
1132, -4181.65771
1133, -791.45062
1134,  18272.36133
1135, -1009.32172
1136, -3594.17822
1137,  19531.08984
1138, -8575.42188
1139, -3086.58447
1140,  12968.37207
1141, -3922.71436
1142,  765.63867
1143,  17870.05664
1144, -3201.89502
1145, -689.20728
1146,  11420.66504
1147, -1476.13501
1148, -2975.73096
1149,  5038.67627
1150, -355.40515
1151, -408.62289
1152,  2820.55859
1153, -1290.18958
1154,  80.68157
1155,  3179.50391
1156, -1142.89404
1157, -37.98543
1158,  1636.3241
1159, -468.21133
1160, -104.30481
1161,  4249.40869
1162, -1559.32031
1163, -302.22006
1164,  3157.22021
1165, -177.12144
1166, -540.39771
1167,  10425.18848
1168, -3703.21582
1169, -88.64672
1170,  8511.36426
1171, -2186.09814
1172,  168.78397
1173,  5096.42578
1174, -1253.33936
1175,  977.41125
1176,  21795.82813
1177, -5359.67578
1178,  517.58069
1179,  6446.33057
1180, -765.64642
1181, -542.59485
1182,  7574.16016
1183, -667.13831
1184, -2841.17822
1185,  8787.25781
1186, -1932.04517
1187, -274.74292
1188,  11436.30078
1189, -3425.67554
1190, -523.3175
1191,  5430.16309
1192, -1472.08569
1193, -595.21997
1194,  6820.43848
1195,  607.43561
1196, -631.47412
1197,  13412.34082
1198, -3818.97876
1199, -1823.63696
1200,  4438.57959
1201, -456.56122
1202, -1329.39441
1203,  20995.83203
1204, -8618.97363
1205,  391.81461
1206,  1931.15125
1207,  253.32263
1208, -593.97589
1209,  6519.49268
1210, -758.1795
1211, -1065.55933
1212,  8016.854
1213, -2715.14282
1214,  59.90701
1215,  12626.75586
1216, -4619.46729
1217,  147.66055
1218,  10025.90332
1219, -856.03345
1220, -529.42273
1221,  6618.72266
1222,  618.29553
1223, -2225.83472
1224,  12111.7168
1225, -3571.20532
1226,  626.94629
1227,  20651.89453
1228,  477.21216
1229, -598.22449
1230,  20037.19727
1231, -8630.74316
1232, -2018.34644
1233,  20927.17969
1234, -5528.55127
1235, -4089.03467
1236,  34859.68359
1237, -6507.99414
1238, -7685.7417
1239,  5835.88525
1240, -566.33191
1241, -388.52917
1242,  11758.33203
1243,  418.24155
1244, -1704.33765
1245,  15700.9375
1246, -973.05145
1247, -3074.49902
1248,  11370.82324
1249,  1926.26587
1250, -2682.06421
1251,  8243.86816
1252, -1285.40112
1253, -3194.61768
1254,  19751.27539
1255, -6523.95801
1256,  2024.75244
1257,  2439.05078
1258, -233.40884
1259, -155.69141
1260,  9796.17969
1261, -1402.94495
1262, -1479.27673
1263,  2804.87939
1264, -461.6174
1265,  348.75595
1266,  29688.43945
1267, -10980.61426
1268, -2968.40649
1269,  12227.93066
1270, -870.51807
1271, -226.46785
1272,  12306.20313
1273,  713.0658
1274, -621.29187
1275,  15420.50586
1276, -2340.56812
1277, -1179.06567
1278,  10314.76758
1279, -3186.45361
1280, -1453.65161
1281,  9268.44043
1282,  902.40735
1283, -715.50085
1284,  10729.76367
1285, -2896.72559
1286,  653.83551
1287,  10248.14648
1288, -3692.01025
1289, -989.49164
1290,  8705.90234
1291,  130.91374
1292, -1463.32776
1293,  3693.66772
1294,  343.41827
1295, -1134.51526
1296,  8773.28906
1297, -3226.88501
1298,  421.72144
1299,  12158.77832
1300, -4593.72412
1301, -131.76318
1302,  6343.06885
1303, -144.97363
1304, -984.50085
1305,  23766.58203
1306, -4461.10449
1307,  153.84532
1308,  15824.69141
1309, -4607.7749
1310, -445.543
1311,  24314.42773
1312, -299.54773
1313, -5914.93506
1314,  11436.35645
1315, -2138.01855
1316, -2336.73584
1317,  11111.0459
1318,  892.54309
1319, -3064.44922
1320,  10109.64746
1321, -2953.24219
1322,  1799.16772
1323,  18898.82031
1324, -315.72025
1325, -1597.21021
1326,  6349.8877
1327, -672.65009
1328,  33.33044
1329,  25549.34961
1330, -3997.66235
1331,  92.87643
1332,  9326.87988
1333, -2769.66724
1334, -23.38741
1335,  18661.625
1336, -5570.3418
1337,  1185.8313
1338,  27736.18945
1339, -2664.39185
1340, -4669.521
1341,  21195.24805
1342, -7210.93652
1343,  1568.21997
1344,  14814.74707
1345, -3137.65479
1346, -2149.93335
1347,  4733.75635
1348, -1391.02356
1349, -398.18234
1350,  5820.82471
1351, -1202.95581
1352, -698.44867
1353,  23448.66016
1354, -2743.33472
1355, -4976.77637
1356,  4532.76563
1357, -1347.67786
1358, -357.85132
1359,  13014.40723
1360, -1280.55933
1361,  293.02716
1362,  5802.89355
1363, -529.11536
1364, -1062.79382
1365,  12040.38477
1366, -2322.60034
1367, -107.04466
1368,  24160.35938
1369, -2540.63452
1370, -385.28787
1371,  14538.50195
1372, -733.43219
1373, -1367.93433
1374,  6691.2915
1375, -1210.53589
1376,  537.62457
1377,  18250.36719
1378, -2796.66016
1379, -2311.72266
1380,  20762.54688
1381, -1202.36255
1382, -2951.78027
1383,  4547.76123
1384, -1394.4021
1385, -552.1861
1386,  5067.75684
1387, -1573.82373
1388,  77.82412
1389,  12797.44531
1390, -2090.04785
1391,  58.72799
1392,  15281.41406
1393, -4897.00635
1394, -1271.88354
1395,  2807.72339
1396, -577.0105
1397, -228.55598
1398,  2862.57251
1399, -325.99203
1400, -498.96289
1401,  4818.51855
1402,  138.51051
1403, -1228.52051
1404,  10707.78809
1405, -276.44547
1406, -4515.3833
1407,  844.34918
1408, -276.00427
1409, -9.30893
1410,  2714.98535
1411,  41.50305
1412, -281.75085
1413,  4872.82275
1414, -717.37164
1415, -358.64001
1416,  6127.14893
1417, -1427.427
1418, -929.56824
1419,  4539.95166
1420,  129.98149
1421, -960.41394
1422,  3080.00659
1423, -1733.85522
1424,  102.72276
1425,  2593.98877
1426, -625.95294
1427,  3.17843
1428,  32979.17969
1429,  188.0965
1430, -5372.33203
1431,  15433.57422
1432, -3058.55444
1433, -804.51416
1434,  19864.00195
1435, -1864.38782
1436, -3023.646
1437,  8893.30762
1438, -1818.9696
1439, -2651.9082
1440,  21904.95508
1441, -3220.36108
1442, -4645.69287
1443,  12351.95605
1444, -3403.43799
1445, -1825.74805
1446,  12060.36816
1447, -3965.07104
1448, -1837.72046
1449,  5528.35645
1450, -613.43463
1451, -693.92407
1452,  7841.81836
1453, -1835.76086
1454, -1194.65881
1455,  16659.91211
1456, -620.87402
1457, -2122.03955
1458,  35259.625
1459, -4925.79248
1460, -6359.6582
1461,  29064.94336
1462, -5973.00195
1463, -439.89984
1464,  17976.99805
1465, -7175.6748
1466,  616.80707
1467,  15793.13379
1468, -4276.7998
1469,  1463.66235
1470,  23489.0918
1471, -6914.38818
1472, -136.69838
1473,  19891.08594
1474, -6615.87158
1475,  248.71759
1476,  11334.19727
1477, -785.11108
1478,  439.94434
1479,  12217.11914
1480, -621.7522
1481,  674.36627
1482,  33210.87109
1483, -8357.61426
1484,  2516.41309
1485,  27282.77734
1486, -8828.58008
1487, -2276.65381
1488,  33865.10938
1489, -6572.91309
1490, -1564.48669
1491,  17154.58203
1492, -4981.19092
1493,  957.70911
1494,  12794.22168
1495, -2976.42212
1496, -747.51263
1497,  13247.47266
1498, -2460.22559
1499, -1451.81213
1500,  7410.94434
1501, -368.84766
1502, -1481.87366
1503,  16719.46875
1504, -4185.84619
1505,  174.94228
1506,  10757.03516
1507, -2534.13306
1508,  401.05103
1509,  27916.51172
1510, -8234.32617
1511, -3734.94141
1512,  105570.17969
1513, -2296.979
1514, -22520.79492
1515,  26797.91992
1516, -5373.26221
1517, -6617.03906
1518,  58808.50781
1519, -6602.8374
1520,  339.5394
1521,  22326.93164
1522, -6752.42871
1523, -4743.38379
1524,  32542.00
1525, -8197.76465
1526,  4335.41553
1527,  18222.47852
1528,  1557.03662
1529, -2517.39209
1530,  49065.84375
1531, -11035.84961
1532,  1403.94531
